sampleTimeStamp.seconds;sampleTimeStamp.microseconds;lat;lon;speed;accel_x;accel_y;accel_z
90066562;395801;37.718879331;1.957389042;10.11836;-0.6844991;-0.1359687;-0.1946903
90066562;446101;37.718880743;1.95738097;10.15131;-0.6457585;0.0112321;0.180047
90066562;495854;37.718882158;1.957372871;10.18388;-0.5784141;-0.03363542;0.1243374
90066562;545829;37.718883577;1.957364746;10.21412;-0.5267364;-0.03231567;0.03588772
90066562;595879;37.718884999;1.957356597;10.24426;-0.5172589;-0.03559247;0.1912367
90066562;645849;37.718886426;1.957348423;10.27647;-0.6248381;-0.1738265;-0.07595277
90066562;695852;37.718887859;1.957340225;10.30938;-0.5767903;0.08838453;0.07373635
90066562;745832;37.718889297;1.957332002;10.33852;-0.3795226;0.3114709;-0.01055231
90066562;795846;37.718890737;1.957323757;10.35908;-0.4055339;0.1837123;0.3169429
90066562;845780;37.718892177;1.957315499;10.37551;-0.5792766;-0.1311425;0.18588
90066562;895807;37.718893622;1.957307222;10.40407;-0.6807823;-0.1382387;0.04606444
90066562;945798;37.718895072;1.957298921;10.4367;-0.7769775;0.1606704;-0.0216605
90066562;995850;37.718896528;1.957290596;10.46498;-0.6006263;0.06795853;-0.02849196
90066563;45853;37.718897988;1.957282248;10.49353;-0.4752606;-0.3516011;-0.3070889
90066563;95831;37.718899452;1.957273877;10.52405;-0.6113067;0.06998878;0.2350643
90066563;145856;37.718900921;1.957265483;10.55335;-0.6645511;0.06980067;0.3717782
90066563;195880;37.718902393;1.957257065;10.58475;-0.4785917;0.102077;0.4146308
90066563;245792;37.718903867;1.957248626;10.60881;-0.5783889;-0.03477026;0.2937975
90066563;295849;37.718905344;1.957240175;10.64069;-0.5262114;-0.09238917;0.1829981
90066563;345872;37.718906826;1.957231705;10.66452;-0.5710452;0.1393503;0.2358692
90066563;395856;37.718908313;1.957223214;10.68817;-0.432624;0.05049985;0.08806421
90066563;446174;37.718909803;1.957214709;10.70154;-0.09284098;-0.2431228;-0.4662689
90066563;495837;37.718911293;1.957206197;10.69258;0.8942552;0.1083589;-0.5086275
90066563;545848;37.71891277;1.957197755;10.53789;1.507012;-0.01404678;0.2207041
90066563;595864;37.718914223;1.95718944;10.34809;3.567866;-0.1083912;0.2940242
90066563;645812;37.718915645;1.9571813;10.11877;3.746455;0.1361646;0.6177146
90066563;695842;37.718917035;1.957173343;9.889114;4.665256;-0.364375;0.206262
90066563;745848;37.718918394;1.957165572;9.65607;4.685347;-0.002317208;0.3516119
90066563;795904;37.718919722;1.957157987;9.42453;4.875669;0.1492797;0.1848789
90066563;845854;37.718921016;1.957150586;9.189732;5.018488;0.2412766;0.02367798
90066563;895874;37.718922273;1.957143368;8.962053;4.478369;0.32392;-0.07686111
90066563;945885;37.7189235;1.957136332;8.731414;4.850178;0.06402233;0.2565573
90066563;995869;37.718924696;1.957129481;8.498263;4.83911;-0.04668392;0.2879712
90066564;45860;37.71892586;1.957122821;8.253731;5.386592;-0.02354425;0.1861099
90066564;95856;37.718926987;1.957116357;8.004217;5.24577;-0.06200457;-0.1442139
90066564;145892;37.718928078;1.957110089;7.756275;5.156896;-0.00568424;-0.1325286
90066564;195915;37.718929135;1.957104025;7.498648;5.0278;-0.000824442;-0.6842644
90066564;245838;37.718930156;1.957098167;7.246938;5.074139;0.02023268;-0.456743
90066564;295870;37.718931138;1.957092522;6.983378;5.281409;-0.06416196;-0.6681941
90066564;345876;37.718932084;1.957087085;6.727193;5.197826;0.1737754;-0.2527376
90066564;395854;37.718932993;1.957081857;6.46368;5.092175;0.03870501;-0.007034114
90066564;446148;37.718933867;1.957076834;6.204725;5.468379;-0.1759386;-0.459924
90066564;495895;37.718934704;1.957072025;5.932513;5.402384;0.1968852;-0.02054798
90066564;545893;37.718935503;1.957067433;5.655772;5.629744;-0.04577147;-0.2666679
90066564;595904;37.718936263;1.957063063;5.379297;5.509354;0.02926934;-0.02048534
90066564;645871;37.718936984;1.957058913;5.101211;5.489079;0.07412507;0.0451077
90066564;695876;37.718937665;1.957054985;4.822407;5.533968;-0.0267795;-0.03446618
90066564;745892;37.718938308;1.957051279;4.543774;5.549309;0.0844233;-0.2128829
90066564;795926;37.718938912;1.957047794;4.267152;5.488881;-0.2014317;-0.1739896
90066564;845908;37.718939477;1.957044527;3.996426;5.229799;-0.07624222;0.09622785
90066564;895878;37.718940006;1.957041477;3.727228;5.148145;0.09921136;-0.1286748
90066564;945837;37.718940498;1.957038633;3.480197;4.822742;0.1098193;-0.1265551
90066564;995874;37.718940956;1.957035973;3.264597;3.854318;-0.02751538;0.1686252
90066565;45938;37.718941387;1.957033471;3.077445;3.652316;0.04036522;-0.0433365
90066565;95906;37.718941794;1.957031112;2.910953;3.18092;-0.06000053;0.08273579
90066565;145933;37.71894218;1.957028882;2.747554;3.294237;-0.01518857;-0.2564071
90066565;195909;37.718942542;1.957026782;2.586867;3.076751;0.1329601;-0.02331057
90066565;245875;37.71894288;1.957024803;2.429303;3.168933;-0.01772779;-0.2731303
